event_index,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,trade_px,trade_qty,mid_at_trade,spread_at_trade,time_since_last_A_news,latest_known_eps_for_A
1371,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.017002+00:00,1775347501017002000,164927657111708,100,,,A,721,67,721.5,-1.0,4.496585042,
1380,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.216386+00:00,1775347501216386000,164927856495458,100,,,A,720,37,713.0,-14.0,4.695968792,
1385,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.221601+00:00,1775347501221601000,164927861710833,100,,,A,720,45,713.5,-13.0,4.701184167,
1386,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.221810+00:00,1775347501221810000,164927861919791,100,,,A,710,7,713.5,-13.0,4.701393125,
1392,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.226879+00:00,1775347501226879000,164927866989541,100,,,A,710,30,709.0,-2.0,4.706462875,
1393,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.226998+00:00,1775347501226998000,164927867108541,100,,,A,709,37,709.0,-2.0,4.706581875,
1399,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.231101+00:00,1775347501231101000,164927871211291,100,,,A,709,15,709.0,0.0,4.710684625,
1406,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.484684+00:00,1775347501484684000,164928124794958,100,,,A,707,37,700.0,-14.0,4.964268292,
1411,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.487194+00:00,1775347501487194000,164928127304875,100,,,A,707,45,700.5,-13.0,4.966778209,
1412,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.487276+00:00,1775347501487276000,164928127387708,100,,,A,698,7,700.5,-13.0,4.966861042,
1418,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.490330+00:00,1775347501490330000,164928130441208,100,,,A,698,30,696.5,-3.0,4.969914542,
1419,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.490404+00:00,1775347501490404000,164928130515375,100,,,A,697,37,696.5,-3.0,4.969988709,
1425,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.493748+00:00,1775347501493748000,164928133859708,100,,,A,697,15,696.5,-1.0,4.973333042,
1426,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.493823+00:00,1775347501493823000,164928133934041,100,,,A,696,67,696.5,-1.0,4.973407375,
1434,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.628318+00:00,1775347501628318000,164928268429375,100,,,A,695,37,689.5,-11.0,5.107902709,
1439,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.631915+00:00,1775347501631915000,164928272026458,100,,,A,695,45,690.0,-10.0,5.111499792,
1440,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.632008+00:00,1775347501632008000,164928272119833,100,,,A,685,7,690.0,-10.0,5.111593167,
1454,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.845389+00:00,1775347501845389000,164928485499666,100,,,A,682,37,676.0,-12.0,5.324973,
1459,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.849771+00:00,1775347501849771000,164928489883208,100,,,A,682,45,676.5,-11.0,5.329356542,
1460,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.849898+00:00,1775347501849898000,164928490010125,100,,,A,676,7,676.5,-11.0,5.329483459,
1466,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.854685+00:00,1775347501854685000,164928494797666,100,,,A,676,30,674.0,-4.0,5.334271,
1467,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.854776+00:00,1775347501854776000,164928494888916,100,,,A,675,37,674.0,-4.0,5.33436225,
1473,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.858735+00:00,1775347501858735000,164928498847083,100,,,A,675,15,674.0,-2.0,5.338320417,
1474,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.858821+00:00,1775347501858821000,164928498933375,100,,,A,674,67,674.0,-2.0,5.338406709,
1482,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.033840+00:00,1775347502033840000,164928673952916,100,,,A,673,37,664.5,-17.0,5.51342625,
1487,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.037778+00:00,1775347502037778000,164928677891333,100,,,A,673,45,665.0,-16.0,5.517364667,
1488,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.037898+00:00,1775347502037898000,164928678010625,100,,,A,662,7,665.0,-16.0,5.517483959,
1494,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.042334+00:00,1775347502042334000,164928682446625,100,,,A,662,30,660.0,-4.0,5.521919959,
1495,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.042424+00:00,1775347502042424000,164928682537541,100,,,A,661,37,660.0,-4.0,5.522010875,
1501,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.046367+00:00,1775347502046367000,164928686480541,100,,,A,661,15,660.0,-2.0,5.525953875,
1502,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.046444+00:00,1775347502046444000,164928686557500,100,,,A,660,67,660.0,-2.0,5.526030834,
1509,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.233437+00:00,1775347502233437000,164928873550500,100,,,A,659,37,650.0,-18.0,5.713023834,
1514,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.237572+00:00,1775347502237572000,164928877685708,100,,,A,659,45,650.5,-17.0,5.717159042,
1515,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.237696+00:00,1775347502237696000,164928877809750,100,,,A,648,7,650.5,-17.0,5.717283084,
1521,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.241955+00:00,1775347502241955000,164928882068416,100,,,A,648,30,645.5,-5.0,5.72154175,
1522,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.242056+00:00,1775347502242056000,164928882169875,100,,,A,647,37,645.5,-5.0,5.721643209,
1528,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.245985+00:00,1775347502245985000,164928886098958,100,,,A,647,15,645.5,-3.0,5.725572292,
1529,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.246066+00:00,1775347502246066000,164928886180416,100,,,A,646,67,645.5,-3.0,5.72565375,
1535,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.422805+00:00,1775347502422805000,164929062919166,100,,,A,645,37,636.5,-17.0,5.9023925,
1540,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.427078+00:00,1775347502427078000,164929067192416,100,,,A,645,45,637.0,-16.0,5.90666575,
1541,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.427203+00:00,1775347502427203000,164929067317583,100,,,A,633,7,637.0,-16.0,5.906790917,
1547,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.431598+00:00,1775347502431598000,164929071712250,100,,,A,633,30,631.5,-3.0,5.911185584,
1548,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.431686+00:00,1775347502431686000,164929071800416,100,,,A,632,37,631.5,-3.0,5.91127375,
1554,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.435714+00:00,1775347502435714000,164929075828166,100,,,A,632,15,631.5,-1.0,5.9153015,
1555,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.435804+00:00,1775347502435804000,164929075918958,100,,,A,631,67,631.5,-1.0,5.915392292,
1561,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.613605+00:00,1775347502613605000,164929253720166,100,,,A,630,37,623.0,-14.0,6.0931935,
1566,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.617931+00:00,1775347502617931000,164929258046166,100,,,A,630,45,623.5,-13.0,6.0975195,
1567,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.618058+00:00,1775347502618058000,164929258173500,100,,,A,620,7,623.5,-13.0,6.097646834,
1573,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.622542+00:00,1775347502622542000,164929262657750,100,,,A,620,30,619.0,-2.0,6.102131084,
1574,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.622628+00:00,1775347502622628000,164929262743666,100,,,A,619,37,619.0,-2.0,6.102217,
1580,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.626709+00:00,1775347502626709000,164929266824291,100,,,A,619,15,619.0,0.0,6.106297625,
1586,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.845849+00:00,1775347502845849000,164929485965041,100,,,A,617,37,611.5,-11.0,6.325438375,
1591,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.851429+00:00,1775347502851429000,164929491545583,100,,,A,617,45,612.0,-10.0,6.331018917,
1592,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.851593+00:00,1775347502851593000,164929491709250,100,,,A,608,7,612.0,-10.0,6.331182584,
1598,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.856576+00:00,1775347502856576000,164929496692000,100,,,A,608,30,608.0,0.0,6.336165334,
1608,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.048147+00:00,1775347503048147000,164929688263916,100,,,A,605,37,602.0,-6.0,6.52773725,
1613,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.052477+00:00,1775347503052477000,164929692594083,100,,,A,605,45,602.5,-5.0,6.532067417,
1627,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.220334+00:00,1775347503220334000,164929860451125,100,,,A,595,37,591.0,-8.0,6.699924459,
1632,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.224646+00:00,1775347503224646000,164929864763791,100,,,A,595,45,591.5,-7.0,6.704237125,
1633,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.224777+00:00,1775347503224777000,164929864894666,100,,,A,591,7,591.5,-7.0,6.704368,
1639,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.229701+00:00,1775347503229701000,164929869818875,100,,,A,591,30,590.0,-2.0,6.709292209,
1640,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.229796+00:00,1775347503229796000,164929869913333,100,,,A,590,37,590.0,-2.0,6.709386667,
1646,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.233861+00:00,1775347503233861000,164929873978208,100,,,A,590,15,590.0,0.0,6.713451542,
1655,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.423525+00:00,1775347503423525000,164930063642375,100,,,A,588,37,583.5,-9.0,6.903115709,
1660,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.427759+00:00,1775347503427759000,164930067876625,100,,,A,588,45,584.0,-8.0,6.907349959,
1673,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.617852+00:00,1775347503617852000,164930257970125,100,,,A,576,37,574.0,-4.0,7.097443459,
1678,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.621431+00:00,1775347503621431000,164930261549708,100,,,A,576,45,574.5,-3.0,7.101023042,
1693,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:03.814212+00:00,1775347503814212000,164930454331375,100,,,A,568,37,568.0,0.0,7.293804709,
1774,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:04.823136+00:00,1775347504823136000,164931463258833,100,,,A,566,37,567.5,-3.0,8.302732167,
1779,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:04.826497+00:00,1775347504826497000,164931466619833,100,,,A,567,52,567.5,-1.0,8.306093167,
1794,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.026054+00:00,1775347505026054000,164931666176625,100,,,A,569,37,574.5,-11.0,8.505649959,
1799,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.031174+00:00,1775347505031174000,164931671297250,100,,,A,569,45,574.0,-10.0,8.510770584,
1800,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.031313+00:00,1775347505031313000,164931671437000,100,,,A,577,7,574.0,-10.0,8.510910334,
1806,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.036108+00:00,1775347505036108000,164931676231458,100,,,A,577,30,577.5,-1.0,8.515704792,
1807,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.036241+00:00,1775347505036241000,164931676364333,100,,,A,578,37,577.5,-1.0,8.515837667,
1820,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.227352+00:00,1775347505227352000,164931867475750,100,,,A,580,37,587.5,-15.0,8.706949084,
1825,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.232024+00:00,1775347505232024000,164931872148375,100,,,A,580,45,587.0,-14.0,8.711621709,
1826,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.232163+00:00,1775347505232163000,164931872287791,100,,,A,588,7,587.0,-14.0,8.711761125,
1832,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.236881+00:00,1775347505236881000,164931877005000,100,,,A,588,30,590.5,-5.0,8.716478334,
